time,open,high,low,close,volume
2022-11-01 01:00:00,1569.58,1584.65,1570.03,1581.26,1270.96023576
2022-11-01 02:00:00,1578.62,1601.25,1581.65,1598.67,1175.21070604
2022-11-01 03:00:00,1583.7,1604.87,1598.88,1586.67,1179.48919539
2022-11-01 04:00:00,1580.2,1594.01,1586.92,1589.71,759.5811083
2022-11-01 05:00:00,1585.1,1596.62,1589.64,1589.79,743.96363366
2022-11-01 06:00:00,1587.43,1603.09,1589.79,1595.47,969.68400374
2022-11-01 07:00:00,1585.4,1599.82,1595.7,1591.36,835.3273903
2022-11-01 08:00:00,1586.11,1595.71,1590.82,1588.11,571.34122337
2022-11-01 09:00:00,1585.85,1613.06,1587.56,1597.92,1335.68598164
2022-11-01 10:00:00,1592.0,1610.5,1598.08,1606.83,1446.34419019
2022-11-01 11:00:00,1582.6,1607.62,1606.76,1590.52,1416.2316439
2022-11-01 12:00:00,1585.95,1598.63,1591.3,1597.16,1433.98117178
2022-11-01 13:00:00,1570.62,1598.13,1597.78,1578.68,2484.33782582
2022-11-01 14:00:00,1563.39,1580.01,1579.05,1569.51,4971.36109148
2022-11-01 15:00:00,1567.39,1576.02,1569.37,1573.64,1928.14441751
2022-11-01 16:00:00,1568.14,1584.65,1573.23,1572.65,2087.13485708
2022-11-01 17:00:00,1568.78,1578.84,1572.61,1578.84,1121.93487312
2022-11-01 18:00:00,1576.72,1586.46,1578.72,1583.68,902.87881795
2022-11-01 19:00:00,1575.8,1586.56,1583.98,1576.74,586.13793032
2022-11-01 20:00:00,1572.9,1578.81,1576.5,1575.52,274.27980565
2022-11-01 21:00:00,1568.76,1581.26,1575.7,1571.01,162.5578727
2022-11-01 22:00:00,1569.0,1579.96,1572.75,1578.65,1092.22228648
2022-11-01 23:00:00,1576.44,1583.24,1578.19,1578.76,730.09053612
2022-11-02 00:00:00,1571.8,1592.52,1578.91,1587.28,1531.82899994
2022-11-02 01:00:00,1585.06,1590.99,1587.93,1586.01,488.38850326
2022-11-02 02:00:00,1578.4,1593.1,1586.14,1589.68,781.24781815
2022-11-02 03:00:00,1588.66,1596.01,1589.93,1590.77,901.2242737
2022-11-02 04:00:00,1587.39,1595.22,1591.22,1590.89,784.68725766
2022-11-02 05:00:00,1585.5,1601.08,1591.18,1586.02,1102.27132624
2022-11-02 06:00:00,1583.0,1588.54,1586.27,1587.4,409.01689456
2022-11-02 07:00:00,1554.1,1588.83,1587.56,1564.08,2175.03332789
2022-11-02 08:00:00,1561.07,1574.18,1563.99,1574.18,1031.25121248
2022-11-02 09:00:00,1557.8,1578.78,1574.01,1558.46,1253.08636367
2022-11-02 10:00:00,1536.2,1559.22,1559.14,1548.9,2427.68803611
2022-11-02 11:00:00,1548.56,1558.66,1548.56,1556.0,702.41850271
2022-11-02 12:00:00,1548.0,1559.53,1555.89,1553.55,1523.20640989
2022-11-02 13:00:00,1548.18,1558.11,1553.57,1553.28,2154.22786957
2022-11-02 14:00:00,1552.02,1566.98,1553.18,1560.47,2185.36400017
2022-11-02 15:00:00,1556.01,1561.55,1560.47,1558.84,832.66214556
2022-11-02 16:00:00,1550.06,1576.03,1558.9,1570.95,1450.82883193
2022-11-02 17:00:00,1549.5,1572.2,1570.97,1561.21,1848.10604842
2022-11-02 18:00:00,1531.28,1621.94,1559.61,1564.59,14571.05288389
2022-11-02 19:00:00,1521.51,1588.79,1563.39,1535.95,5581.10042604
2022-11-02 20:00:00,1502.89,1537.35,1535.77,1511.21,3111.45370166
2022-11-02 21:00:00,1502.34,1514.67,1510.65,1513.08,916.42982515
2022-11-02 22:00:00,1506.5,1516.3,1513.5,1511.53,1484.14845812
2022-11-02 23:00:00,1508.22,1523.58,1511.03,1518.37,1110.76601017
2022-11-03 00:00:00,1515.39,1537.69,1518.37,1531.4,1482.32674623
2022-11-03 01:00:00,1529.52,1547.9,1531.58,1543.1,1711.15160063
2022-11-03 02:00:00,1542.31,1549.99,1543.62,1544.31,1572.82905944
2022-11-03 03:00:00,1544.0,1556.28,1544.5,1549.26,1573.67647227
2022-11-03 04:00:00,1549.82,1559.0,1550.32,1554.09,1343.16094299
2022-11-03 05:00:00,1548.71,1554.08,1553.95,1551.72,892.03559377
2022-11-03 06:00:00,1546.31,1552.6,1552.6,1548.19,831.23320321
2022-11-03 07:00:00,1542.0,1555.21,1548.43,1544.19,1302.18931366
2022-11-03 08:00:00,1539.46,1548.64,1544.42,1543.94,1094.45177781
2022-11-03 09:00:00,1543.89,1556.52,1544.18,1552.53,873.42027292
2022-11-03 10:00:00,1542.82,1555.0,1552.0,1544.22,712.73907058
2022-11-03 11:00:00,1523.18,1544.64,1543.69,1532.01,1312.5481917
2022-11-03 12:00:00,1522.11,1539.18,1531.75,1529.92,1512.81996573
2022-11-03 13:00:00,1524.77,1540.18,1530.52,1525.62,2806.29658149
2022-11-03 14:00:00,1525.96,1556.28,1525.96,1552.02,2819.05926309
2022-11-03 15:00:00,1535.38,1554.97,1552.17,1542.64,1966.12090486
2022-11-03 16:00:00,1539.24,1549.27,1542.52,1546.66,1713.48969792
2022-11-03 17:00:00,1540.82,1547.73,1546.78,1541.16,986.25573508
2022-11-03 18:00:00,1538.59,1547.41,1541.06,1545.27,775.60944319
2022-11-03 19:00:00,1540.86,1547.87,1545.19,1543.92,760.56408417
2022-11-03 20:00:00,1538.73,1544.54,1544.39,1540.54,284.96101361
2022-11-03 21:00:00,1539.62,1544.1,1540.59,1543.28,135.33828402
2022-11-03 22:00:00,1523.94,1543.4,1543.09,1531.23,1763.77805614
2022-11-03 23:00:00,1525.45,1534.04,1531.47,1531.29,1158.12023039
2022-11-04 00:00:00,1528.26,1540.68,1530.83,1538.68,1185.89774694
2022-11-04 01:00:00,1536.44,1543.75,1538.57,1538.43,763.61152981
2022-11-04 02:00:00,1537.75,1544.24,1538.68,1541.01,883.80253747
2022-11-04 03:00:00,1537.98,1549.78,1541.33,1548.87,640.30422174
2022-11-04 04:00:00,1546.5,1551.32,1549.59,1550.94,561.21095374
2022-11-04 05:00:00,1547.81,1566.08,1550.99,1563.48,884.41353556
2022-11-04 06:00:00,1560.93,1588.07,1563.17,1581.53,1224.44177438
2022-11-04 07:00:00,1574.33,1587.91,1582.07,1587.46,914.94738367
2022-11-04 08:00:00,1579.0,1588.66,1587.88,1579.37,578.43838156
2022-11-04 09:00:00,1577.89,1585.37,1580.05,1579.69,515.34836386
2022-11-04 10:00:00,1575.5,1599.45,1579.75,1594.33,831.1779159
2022-11-04 11:00:00,1576.92,1593.0,1593.0,1577.25,725.17628147
2022-11-04 12:00:00,1547.21,1611.52,1577.59,1609.93,2475.48145705
2022-11-04 13:00:00,1605.96,1624.47,1610.25,1616.87,2298.48514559
2022-11-04 14:00:00,1614.15,1676.9,1616.85,1660.31,3592.01432391
2022-11-04 15:00:00,1624.3,1663.28,1660.82,1625.39,3814.55230178
2022-11-04 16:00:00,1607.47,1630.48,1625.44,1621.39,3570.65234067
2022-11-04 17:00:00,1613.31,1628.21,1621.77,1622.76,2308.35415866
2022-11-04 18:00:00,1617.5,1647.48,1622.68,1637.09,2308.51229144
2022-11-04 19:00:00,1634.63,1648.65,1637.96,1648.36,2347.48307105
2022-11-04 20:00:00,1639.94,1650.34,1648.37,1645.37,1254.45346151
2022-11-04 21:00:00,1640.13,1651.42,1645.61,1648.48,288.98464514
2022-11-04 22:00:00,1643.78,1653.9,1648.48,1649.87,605.96405836
